sample	protocol	fastqdir
trio1.father	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.father.Arima
trio1.father	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.father.Dovetail
trio1.father	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.father.Maison
trio1.mother	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.mother.Arima
trio1.mother	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.mother.Dovetail
trio1.mother	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.mother.Maison
trio1.offspring	Arima	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.offspring.Arima
trio1.offspring	Dovetail	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.offspring.Dovetail
trio1.offspring	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio1.offspring.Maison
trio2.father	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio2.father.Maison
trio2.mother	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio2.mother.Maison
trio2.offspring	Maison	/work2/genphyse/dynagen/jmartin/polledHiC/data/reads_nextflow/trio2.offspring.Maison
